keyword,type,cluster,page_route,intent
"koppla policy till lagkrav",longtail,"funktioner","/funktioner/filer","commercial"
"dokumentkontroll ISO 14001 mall",longtail,"funktioner","/funktioner/filer","commercial"
"spara bevis miljölagstiftning",longtail,"funktioner","/funktioner/filer","commercial"
"underlag för lagefterlevnadskontroll exempel",longtail,"funktioner","/funktioner/filer","commercial"
"importera laglista",primary,"funktioner","/funktioner/importera-laglista","commercial"
"flytta laglista från excel",secondary,"funktioner","/funktioner/importera-laglista","commercial"
"byta laglista-system",secondary,"funktioner","/funktioner/importera-laglista","commercial"
"laglista excel import",secondary,"funktioner","/funktioner/importera-laglista","commercial"
"importera laglista från excel",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"flytta befintlig laglista till nytt system",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"byta lagbevakningsleverantör",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"laglista i excel till digitalt verktyg",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"komma igång med digital laglista",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"migrera laglista mall",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"överföra laglista utan att börja om",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"laglista excel exempel",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"hur skapar man en laglista snabbt",longtail,"funktioner","/funktioner/importera-laglista","commercial"
"lagkatalog",primary,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"rattskallor",secondary,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"svenska lagar och forfattningar",secondary,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"sok i lagtext",secondary,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"var hittar jag gallande lagtext",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"databas over svenska lagar och forordningar",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"skillnad mellan lag forordning och foreskrift",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"vad ar rattskallor",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"sok foreskrifter AFS",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"EU-forordningar pa svenska",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"halla koll pa gallande lagar",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"konsoliderad lagtext SFS",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"lista over myndighetsforeskrifter",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"lankar till riksdagen lagtext",longtail,"funktioner","/funktioner/lagkatalog","commercial (med stark informationell ingang — ""var hittar jag lagtext"")"
"mallar styrdokument",primary,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"policymall",secondary,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"rutinmall",secondary,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"mall lagefterlevnad",secondary,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"mall för arbetsmiljöpolicy",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"mall systematiskt arbetsmiljöarbete",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"miljöpolicy mall företag",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"rutin egenkontroll mall",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"gratis policymall pdf",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"vad ska en arbetsmiljöpolicy innehålla",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"mall för laglista",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"checklista lagefterlevnad mall",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"dataskyddspolicy mall",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"styrdokument exempel företag",longtail,"funktioner","/funktioner/mallar","commercial (stark ""mall""-söktrafik med informationell ingång)"
"revisionsrapport lagefterlevnad",primary,"funktioner","/funktioner/revisionsrapport","commercial"
"rapport lagefterlevnadskontroll",secondary,"funktioner","/funktioner/revisionsrapport","commercial"
"underlag till revision",secondary,"funktioner","/funktioner/revisionsrapport","commercial"
"dokumenterad efterlevnad",secondary,"funktioner","/funktioner/revisionsrapport","commercial"
"rapport för lagefterlevnadskontroll",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"underlag till ISO 14001 revision",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"dokumentera lagefterlevnad till revisor",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"exportera laglista som PDF",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"vad ska en revisionsrapport innehålla",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"bevis på systematiskt arbetsmiljöarbete",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"lagefterlevnadskontroll mall",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"rapport till ledningens genomgång",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"visa efterlevnad vid extern revision",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"sammanställning lagkrav status",longtail,"funktioner","/funktioner/revisionsrapport","commercial"
"laglista akeri",primary,"branscher","/branscher/akeri-logistik","commercial"
"lagefterlevnad transport",secondary,"branscher","/branscher/akeri-logistik","commercial"
"lagbevakning logistik",secondary,"branscher","/branscher/akeri-logistik","commercial"
"regelefterlevnad akeri",secondary,"branscher","/branscher/akeri-logistik","commercial"
"vilka lagar galler for akeri",longtail,"branscher","/branscher/akeri-logistik","commercial"
"kor- och vilotider regler 2026",longtail,"branscher","/branscher/akeri-logistik","commercial"
"krav pa fardskrivare lastbil",longtail,"branscher","/branscher/akeri-logistik","commercial"
"laglista transportforetag mall",longtail,"branscher","/branscher/akeri-logistik","commercial"
"ADR transport av farligt gods regler",longtail,"branscher","/branscher/akeri-logistik","commercial"
"YKB yrkeskompetensbevis krav",longtail,"branscher","/branscher/akeri-logistik","commercial"
"checklista lagefterlevnad logistik",longtail,"branscher","/branscher/akeri-logistik","commercial"
"arbetstidslagen for chaufforer",longtail,"branscher","/branscher/akeri-logistik","commercial"
"kabotage regler Sverige",longtail,"branscher","/branscher/akeri-logistik","commercial"
"systematiskt arbetsmiljoarbete akeri",longtail,"branscher","/branscher/akeri-logistik","commercial"
"laglista avfall och återvinning",primary,"branscher","/branscher/avfall-atervinning","commercial"
"miljölagstiftning avfallsbransch",secondary,"branscher","/branscher/avfall-atervinning","commercial"
"lagefterlevnad återvinning",secondary,"branscher","/branscher/avfall-atervinning","commercial"
"egenkontroll avfall",secondary,"branscher","/branscher/avfall-atervinning","commercial"
"krav på laglista för avfallsverksamhet",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"vilka lagar gäller för återvinningsföretag",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"egenkontroll enligt miljöbalken avfall",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"producentansvar förpackningar krav",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"tillståndsplikt avfallshantering A B C-verksamhet",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"checklista miljölagstiftning återvinning",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"transport av farligt avfall regler",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"rapportering avfallsregistret krav",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"lagbevakning avfallsförordningen",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"lagefterlevnadskontroll för avfallsbolag",longtail,"branscher","/branscher/avfall-atervinning","commercial"
"laglista brf",primary,"branscher","/branscher/brf","commercial"
"lagefterlevnad bostadsrättsförening",secondary,"branscher","/branscher/brf","commercial"
"styrelseansvar brf lagar",secondary,"branscher","/branscher/brf","commercial"
"regelefterlevnad brf",secondary,"branscher","/branscher/brf","commercial"
"vilka lagar gäller för en brf",longtail,"branscher","/branscher/brf","commercial"
"laglista för bostadsrättsförening",longtail,"branscher","/branscher/brf","commercial"
"systematiskt brandskyddsarbete brf",longtail,"branscher","/branscher/brf","commercial"
"krav på OVK bostadsrättsförening",longtail,"branscher","/branscher/brf","commercial"
"styrelsens ansvar bostadsrättslagen",longtail,"branscher","/branscher/brf","commercial"
"energideklaration brf krav",longtail,"branscher","/branscher/brf","commercial"
"radonmätning bostadsrättsförening",longtail,"branscher","/branscher/brf","commercial"
"GDPR medlemsregister brf",longtail,"branscher","/branscher/brf","commercial"
"checklista lagkrav brf styrelse",longtail,"branscher","/branscher/brf","commercial"
"lagbevakning bostadsrättsförening",longtail,"branscher","/branscher/brf","commercial"
"lagefterlevnad energibranschen",primary,"branscher","/branscher/energi","commercial"
"laglista energibolag",secondary,"branscher","/branscher/energi","commercial"
"elsäkerhetskrav företag",secondary,"branscher","/branscher/energi","commercial"
"lagkrav elnät",secondary,"branscher","/branscher/energi","commercial"
"vilka lagar gäller för energibolag",longtail,"branscher","/branscher/energi","commercial"
"elsäkerhetslagen krav för företag",longtail,"branscher","/branscher/energi","commercial"
"laglista mall energibranschen",longtail,"branscher","/branscher/energi","commercial"
"krav på energikartläggning stora företag",longtail,"branscher","/branscher/energi","commercial"
"regler för elnätsverksamhet",longtail,"branscher","/branscher/energi","commercial"
"checklista elsäkerhet anläggning",longtail,"branscher","/branscher/energi","commercial"
"lagkrav för solcellsanläggning",longtail,"branscher","/branscher/energi","commercial"
"miljökrav energiproduktion",longtail,"branscher","/branscher/energi","commercial"
"elcertifikat regler",longtail,"branscher","/branscher/energi","commercial"
"strålsäkerhet kärnkraft krav",longtail,"branscher","/branscher/energi","commercial"
"laglista gruvor och takter",primary,"branscher","/branscher/gruvor-takter","commercial"
"lagefterlevnad takt",secondary,"branscher","/branscher/gruvor-takter","commercial"
"regelefterlevnad gruvindustri",secondary,"branscher","/branscher/gruvor-takter","commercial"
"lagbevakning bergtakt",secondary,"branscher","/branscher/gruvor-takter","commercial"
"vilka lagar galler for takter",longtail,"branscher","/branscher/gruvor-takter","commercial"
"krav pa takttillstand miljobalken",longtail,"branscher","/branscher/gruvor-takter","commercial"
"bearbetningskoncession minerallagen",longtail,"branscher","/branscher/gruvor-takter","commercial"
"hantering av utvinningsavfall regler",longtail,"branscher","/branscher/gruvor-takter","commercial"
"sprangamnen tillstand takt",longtail,"branscher","/branscher/gruvor-takter","commercial"
"kvartsdamm AFS granitvarde",longtail,"branscher","/branscher/gruvor-takter","commercial"
"laglista bergtakt mall",longtail,"branscher","/branscher/gruvor-takter","commercial"
"egenkontroll miljo takt",longtail,"branscher","/branscher/gruvor-takter","commercial"
"buller och vibrationer sprangning",longtail,"branscher","/branscher/gruvor-takter","commercial"
"tillsyn lansstyrelsen takt",longtail,"branscher","/branscher/gruvor-takter","commercial"
"lagefterlevnad detaljhandel",primary,"branscher","/branscher/handel","commercial"
"laglista handelsföretag",secondary,"branscher","/branscher/handel","commercial"
"konsumenträtt regler handel",secondary,"branscher","/branscher/handel","commercial"
"lagkrav butik",secondary,"branscher","/branscher/handel","commercial"
"vilka lagar gäller för detaljhandeln",longtail,"branscher","/branscher/handel","commercial"
"krav på prismärkning i butik",longtail,"branscher","/branscher/handel","commercial"
"regler för e-handel konsument",longtail,"branscher","/branscher/handel","commercial"
"laglista mall handelsföretag",longtail,"branscher","/branscher/handel","commercial"
"checklista lagkrav butik",longtail,"branscher","/branscher/handel","commercial"
"konsumentköplagen för företag",longtail,"branscher","/branscher/handel","commercial"
"produktsäkerhet krav handel",longtail,"branscher","/branscher/handel","commercial"
"krav på kassaregister butik",longtail,"branscher","/branscher/handel","commercial"
"GDPR i e-handel",longtail,"branscher","/branscher/handel","commercial"
"ångerrätt regler distanshandel",longtail,"branscher","/branscher/handel","commercial"
"lagefterlevnad kemikalieindustri",primary,"branscher","/branscher/kemi","commercial"
"laglista kemiföretag",secondary,"branscher","/branscher/kemi","commercial"
"REACH krav företag",secondary,"branscher","/branscher/kemi","commercial"
"kemikaliehantering lagkrav",secondary,"branscher","/branscher/kemi","commercial"
"vilka lagar gäller för kemikalieföretag",longtail,"branscher","/branscher/kemi","commercial"
"krav på säkerhetsdatablad REACH",longtail,"branscher","/branscher/kemi","commercial"
"laglista mall kemikaliehantering",longtail,"branscher","/branscher/kemi","commercial"
"CLP-förordningen krav märkning",longtail,"branscher","/branscher/kemi","commercial"
"checklista kemikaliehantering arbetsplats",longtail,"branscher","/branscher/kemi","commercial"
"Sevesolagen krav verksamhet",longtail,"branscher","/branscher/kemi","commercial"
"regler för förvaring av brandfarliga varor",longtail,"branscher","/branscher/kemi","commercial"
"kemikalieförteckning krav",longtail,"branscher","/branscher/kemi","commercial"
"tillstånd kemisk industri",longtail,"branscher","/branscher/kemi","commercial"
"hantering farligt avfall regler",longtail,"branscher","/branscher/kemi","commercial"
"lagefterlevnad lantbruk",primary,"branscher","/branscher/lantbruk","commercial"
"laglista lantbruksföretag",secondary,"branscher","/branscher/lantbruk","commercial"
"lagkrav jordbruk",secondary,"branscher","/branscher/lantbruk","commercial"
"djurskydd regler gård",secondary,"branscher","/branscher/lantbruk","commercial"
"vilka lagar gäller för lantbruk",longtail,"branscher","/branscher/lantbruk","commercial"
"djurskyddslagen krav för lantbrukare",longtail,"branscher","/branscher/lantbruk","commercial"
"laglista mall lantbruksföretag",longtail,"branscher","/branscher/lantbruk","commercial"
"regler för växtskyddsmedel jordbruk",longtail,"branscher","/branscher/lantbruk","commercial"
"checklista lagkrav gård",longtail,"branscher","/branscher/lantbruk","commercial"
"krav på gödselhantering",longtail,"branscher","/branscher/lantbruk","commercial"
"miljöregler för djurhållning",longtail,"branscher","/branscher/lantbruk","commercial"
"tvärvillkor jordbruksstöd krav",longtail,"branscher","/branscher/lantbruk","commercial"
"regler för foder och animaliska biprodukter",longtail,"branscher","/branscher/lantbruk","commercial"
"lagkrav för biogasanläggning gård",longtail,"branscher","/branscher/lantbruk","commercial"
"lagefterlevnad livsmedelsbransch",primary,"branscher","/branscher/livsmedel","commercial"
"laglista livsmedelsföretag",secondary,"branscher","/branscher/livsmedel","commercial"
"livsmedelslagstiftning krav",secondary,"branscher","/branscher/livsmedel","commercial"
"egenkontroll livsmedel",secondary,"branscher","/branscher/livsmedel","commercial"
"vilka lagar gäller för livsmedelsföretag",longtail,"branscher","/branscher/livsmedel","commercial"
"krav på egenkontroll livsmedel",longtail,"branscher","/branscher/livsmedel","commercial"
"HACCP krav livsmedelsproduktion",longtail,"branscher","/branscher/livsmedel","commercial"
"laglista mall livsmedel",longtail,"branscher","/branscher/livsmedel","commercial"
"checklista livsmedelshygien",longtail,"branscher","/branscher/livsmedel","commercial"
"spårbarhet livsmedel krav",longtail,"branscher","/branscher/livsmedel","commercial"
"livsmedelslagstiftning för restaurang",longtail,"branscher","/branscher/livsmedel","commercial"
"miljökrav livsmedelsindustri",longtail,"branscher","/branscher/livsmedel","commercial"
"allergenmärkning regler livsmedel",longtail,"branscher","/branscher/livsmedel","commercial"
"registrering livsmedelsanläggning krav",longtail,"branscher","/branscher/livsmedel","commercial"
"laglista offentlig sektor",primary,"branscher","/branscher/offentlig-sektor","commercial"
"lagefterlevnad kommun",secondary,"branscher","/branscher/offentlig-sektor","commercial"
"lagbevakning offentlig förvaltning",secondary,"branscher","/branscher/offentlig-sektor","commercial"
"regelefterlevnad myndighet",secondary,"branscher","/branscher/offentlig-sektor","commercial"
"vilka lagar gäller för kommuner",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"laglista för kommunal verksamhet",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"lagefterlevnad enligt kommunallagen",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"krav på offentlig upphandling LOU",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"GDPR i kommunal verksamhet",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"tillgänglighet digital offentlig service krav",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"offentlighet och sekretess checklista",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"lagbevakning för myndigheter",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"dokumenterad regelefterlevnad kommun",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"arkivlagen krav kommun",longtail,"branscher","/branscher/offentlig-sektor","commercial"
"laglista skola och utbildning",primary,"branscher","/branscher/skola-utbildning","commercial"
"lagefterlevnad skola",secondary,"branscher","/branscher/skola-utbildning","commercial"
"systematiskt arbetsmiljöarbete skola",secondary,"branscher","/branscher/skola-utbildning","commercial"
"regelefterlevnad utbildning",secondary,"branscher","/branscher/skola-utbildning","commercial"
"vilka lagar gäller för skolor",longtail,"branscher","/branscher/skola-utbildning","commercial"
"laglista för skolverksamhet",longtail,"branscher","/branscher/skola-utbildning","commercial"
"systematiskt arbetsmiljöarbete i skolan",longtail,"branscher","/branscher/skola-utbildning","commercial"
"krav på registerkontroll personal skola",longtail,"branscher","/branscher/skola-utbildning","commercial"
"GDPR i skolan checklista",longtail,"branscher","/branscher/skola-utbildning","commercial"
"arbetsmiljölagen elever skola",longtail,"branscher","/branscher/skola-utbildning","commercial"
"brandskydd krav skola",longtail,"branscher","/branscher/skola-utbildning","commercial"
"lagbevakning för utbildningssektorn",longtail,"branscher","/branscher/skola-utbildning","commercial"
"diskrimineringslagen aktiva åtgärder skola",longtail,"branscher","/branscher/skola-utbildning","commercial"
"egenkontroll skolmiljö",longtail,"branscher","/branscher/skola-utbildning","commercial"
"laglista tandvard",primary,"branscher","/branscher/tandvard","commercial"
"lagefterlevnad tandvardsklinik",secondary,"branscher","/branscher/tandvard","commercial"
"regelefterlevnad tandlakare",secondary,"branscher","/branscher/tandvard","commercial"
"lagbevakning tandvard",secondary,"branscher","/branscher/tandvard","commercial"
"vilka lagar galler for tandvardsklinik",longtail,"branscher","/branscher/tandvard","commercial"
"krav pa amalgamavskiljare tandvard",longtail,"branscher","/branscher/tandvard","commercial"
"patientsakerhet tandvard regler",longtail,"branscher","/branscher/tandvard","commercial"
"stralskydd tandrontgen krav",longtail,"branscher","/branscher/tandvard","commercial"
"hantering av farligt avfall tandvard",longtail,"branscher","/branscher/tandvard","commercial"
"smittrisker tandvard AFS",longtail,"branscher","/branscher/tandvard","commercial"
"laglista tandlakarmottagning mall",longtail,"branscher","/branscher/tandvard","commercial"
"GDPR patientuppgifter tandvard",longtail,"branscher","/branscher/tandvard","commercial"
"egenkontroll miljo tandvardsklinik",longtail,"branscher","/branscher/tandvard","commercial"
"IVO tillsyn tandvard checklista",longtail,"branscher","/branscher/tandvard","commercial"
"laglista verkstadsindustri",primary,"branscher","/branscher/verkstadsindustri","commercial"
"lagefterlevnad tillverkningsindustri",secondary,"branscher","/branscher/verkstadsindustri","commercial"
"regelefterlevnad verkstad",secondary,"branscher","/branscher/verkstadsindustri","commercial"
"lagbevakning industri",secondary,"branscher","/branscher/verkstadsindustri","commercial"
"vilka lagar galler for verkstadsindustri",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"krav pa maskiner arbetsmiljo",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"kemiska arbetsmiljorisker AFS",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"buller och vibrationer industri regler",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"laglista tillverkande foretag mall",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"hantering av farligt avfall verkstad",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"CE-markning maskiner krav",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"heta arbeten regler svetsning",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"systematiskt arbetsmiljoarbete industri",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"REACH kemikalier i tillverkning",longtail,"branscher","/branscher/verkstadsindustri","commercial"
"AFS",primary,"omraden","/omraden/afs","informational + commercial"
"arbetsmiljöverkets föreskrifter",secondary,"omraden","/omraden/afs","informational + commercial"
"nya AFS-regelstrukturen",secondary,"omraden","/omraden/afs","informational + commercial"
"AFS 2023:1",secondary,"omraden","/omraden/afs","informational + commercial"
"vad är AFS",longtail,"omraden","/omraden/afs","informational + commercial"
"vad betyder AFS arbetsmiljöverket",longtail,"omraden","/omraden/afs","informational + commercial"
"nya AFS-regelstrukturen 2025",longtail,"omraden","/omraden/afs","informational + commercial"
"vilka AFS gäller för mitt företag",longtail,"omraden","/omraden/afs","informational + commercial"
"AFS 2023:1 systematiskt arbetsmiljöarbete",longtail,"omraden","/omraden/afs","informational + commercial"
"sanktionsbelagda AFS lista",longtail,"omraden","/omraden/afs","informational + commercial"
"skillnad mellan AFS och arbetsmiljölagen",longtail,"omraden","/omraden/afs","informational + commercial"
"hur hittar jag rätt AFS",longtail,"omraden","/omraden/afs","informational + commercial"
"AFS omnumrering gamla mot nya",longtail,"omraden","/omraden/afs","informational + commercial"
"AFS checklista företag",longtail,"omraden","/omraden/afs","informational + commercial"
"AI Act",primary,"omraden","/omraden/ai-act","informational + commercial"
"AI-förordningen",secondary,"omraden","/omraden/ai-act","informational + commercial"
"AI-reglering",secondary,"omraden","/omraden/ai-act","informational + commercial"
"högriskklassificering AI",secondary,"omraden","/omraden/ai-act","informational + commercial"
"vad är AI Act och vad innebär det",longtail,"omraden","/omraden/ai-act","informational + commercial"
"AI Act krav för företag",longtail,"omraden","/omraden/ai-act","informational + commercial"
"vilka AI-system är högrisk",longtail,"omraden","/omraden/ai-act","informational + commercial"
"AI Act riskklassificering nivå",longtail,"omraden","/omraden/ai-act","informational + commercial"
"AI Act förbjudna användningsområden",longtail,"omraden","/omraden/ai-act","informational + commercial"
"AI Act när börjar det gälla",longtail,"omraden","/omraden/ai-act","informational + commercial"
"AI-förordningen Sverige tillsyn",longtail,"omraden","/omraden/ai-act","informational + commercial"
"transparenskrav generativ AI",longtail,"omraden","/omraden/ai-act","informational + commercial"
"AI Act böter sanktioner",longtail,"omraden","/omraden/ai-act","informational + commercial"
"AI Act checklista efterlevnad",longtail,"omraden","/omraden/ai-act","informational + commercial"
"alkohollagen",primary,"omraden","/omraden/alkohollagen","informational+commercial"
"serveringstillstånd",secondary,"omraden","/omraden/alkohollagen","informational+commercial"
"alkoholservering",secondary,"omraden","/omraden/alkohollagen","informational+commercial"
"alkohollagen krav",secondary,"omraden","/omraden/alkohollagen","informational+commercial"
"vad är alkohollagen",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
"alkohollagen sammanfattning",longtail,"omraden","/omraden/alkohollagen","informational+commercial"
